mode,leaf_code,operator,value_cm,value2_cm,unit,source_fragment,leaf_text
rail,A1.1-4,gte,240.0,,cm,"ไม่น้อยกว่า 2,400 มิลลิเมตร","ขนาดกว้างไม่น้อยกว่า 2,400 มิลลิเมตร และยาวไม่น้อยกว่า 6,000 มิลลิเมตร"
rail,A1.1-4,gte,600.0,,cm,"ไม่น้อยกว่า 6,000 มิลลิเมตร","ขนาดกว้างไม่น้อยกว่า 2,400 มิลลิเมตร และยาวไม่น้อยกว่า 6,000 มิลลิเมตร"
rail,A1.1-5,gte,100.0,,cm,"ไม่น้อยกว่า 1,000 มิลลิเมตร","จัดให้มีที่ว่างข้างที่จอดรถกว้างไม่น้อยกว่า 1,000 มิลลิเมตร ตลอดความยาวของที่จอดรถ"
rail,A1.1-6,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,มีสัญลักษณ์รูปคนพิการนั่งรถเข็นคนพิการ (Wheelchair) อยู่บนพื้นของที่จอดรถด้านที่ติดกับทางเดินรถ ขนาดสัญลักษณ์กว้างไม่น้อ
rail,A1.1-6,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,มีสัญลักษณ์รูปคนพิการนั่งรถเข็นคนพิการ (Wheelchair) อยู่บนพื้นของที่จอดรถด้านที่ติดกับทางเดินรถ ขนาดสัญลักษณ์กว้างไม่น้อ
rail,A1.2-3,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,มีป้ายแสดงที่จอดรถของคนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,A1.2-3,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,มีป้ายแสดงที่จอดรถของคนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,A1.2-5,gte,200.0,,cm,"ไม่น้อยกว่า 2,000 มิลลิเมตร","ป้ายสัญลักษณ์ติดตั้งอยู่สูงจากพื้นไม่น้อยกว่า 2,000 มิลลิเมตร"
rail,A1.3-1,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
rail,A1.3-1,gte,20.0,,cm,200 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
rail,A1.3-3,range,30.0,35.0,cm,ไม่น้อยกว่า 300 มิลลิเมตร แต่ไม่เกิน 350 มิลลิเมตร,ขอบของพื้นผิวต่างสัมผัสอยู่ห่างจากจุดเริ่มต้นของทางขึ้นหรือทางลงของพื้นต่างระดับ ทางลาด บันได หรือประตูไม่น้อยกว่า 300 ม
rail,A1.3-4,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ทางเข้าอาคาร ทางเดินระหว่างอาคาร และทางเชื่อมระหว่างอาคาร ในกรณีที่มีสิ่งกีดขวางที่จำเป็นบนทางเดิน ต้องจัดให้อยู่ในแนวเด
rail,A1.6-3,gte,120.0,,cm,"ไม่น้อยกว่า 1,200 มิลลิเมตร","ทางลาดต้องมีความกว้างไม่น้อยกว่า 1,200 มิลลิเมตร และต้องมีความลาดชันไม่เกิน 1 : 12"
rail,A1.6-3,gte,12.0,,ratio_1_x,ความลาดชันไม่เกิน 1 : 12,"ทางลาดต้องมีความกว้างไม่น้อยกว่า 1,200 มิลลิเมตร และต้องมีความลาดชันไม่เกิน 1 : 12"
rail,A1.6-4,lte,10.0,,percent,ความลาดชัน (Ramp slope) ร้อยละ 10,ขอบทางลาดปาดต้องมีความลาดชัน (Ramp slope) ร้อยละ 10
rail,A2.1-3,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ป้ายสัญลักษณ์คนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,A2.1-3,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ป้ายสัญลักษณ์คนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,A2.2-1.2,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,ความกว้างสุทธิไม่น้อยกว่า 900 มิลลิเมตร
rail,A2.2-1.3,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","พื้นที่หน้าทางลาดเป็นที่ว่างยาวไม่น้อยกว่า 1,500 มิลลิเมตร"
rail,A2.2-1.4,gte,12.0,,ratio_1_x,ความลาดชันไม่เกิน 1:12,ความลาดชันไม่เกิน 1:12
rail,A2.2-1.5,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ทางลาดด้านที่ไม่มีผนังกั้นให้ยกขอบสูงจากพื้นผิวของทางลาดไม่น้อยกว่า 50 มิลลิเมตร และมีราวกันตก/ราวจับทำด้วยวัสดุที่มั่นค
